BRAND,Title,Price,Filter,Rating,Reviews
Coway,"Coway Airmega 150 (AP-1019C) Air Purifier For Home, Longest Filter Life 8500Hrs (approx. 1.5-2 yrs), Anti-Virus True Hepa Filter (H13), Kills Allergies, Virus, Germs & PM 0.01 with 99.999% efficiency",14999,Special Green Anti Virus True HEPA,4.4,6075
Honeywell,"Honeywell Air Purifier for Home & Office, 3-in-1 filter - Pre-Filter, H13, Activated Carbon Filter, Removes 99.99% Pollutants, Allergens, Pet Danger, Smoke, Dust & Pollens - Air touch V1",4985,HEPA,4,10330
LEVOIT,"LEVOIT Core Mini Air Purifier For Coverage Area 183 Sq Ft, H13 Truehepa Filter, Remove 99.97% Dust, Smoke, & Pollen, With Fragrance Sponge, (2 Years Warranty), White",5499,HEPA,4.4,85117
Philips,"Philips AC0920 Smart Air Purifier for Home| Real Time AQI Display | Covers upto 300 sqft|Removes 99.97% of Viruses,Allergens,Dust and PM2.5 |HEPA Filter|Filter Life Upto 9000 Hrs | Ideal for Bedrooms",7999,HEPA,4.1,3114
FULMINARE,"FULMINARE Air Purifiers for Bedroom, FULMINARE H13 True HEPA Air Filter, Quiet Air Cleaner With Night Light,Portable Small Air Purifier for Home, Office,Pet(Black)",3798,HEPA,4.4,3361
Philips,"Philips AC1711 - Purifies Rooms Up To 380 Sq ft (36 M²) | Removes 99.97% Of Pollen, Allergies, Dust And Smoke, Hepa Filter, Ultra-Quiet And Low Energy Consumption | CADR 300 m3/h | Ideal For Bedrooms",11938,HEPA,4.1,5416
PHILIPS,"Philips Smart Air Purifier AC1715-Purifies rooms up to 36 m² -Removes 99.97% of Pollen,Dust, Smoke, Wi-Fi Connectivity, Quiet and Low energy consumption, Ideal for Bedrooms,White",13899,HEPA,4.3,203
CPENSUS,"CPENSUS Air Purifier For Bedroom Coverage 107 Ft² True H13 With Activated Carbon Filter Aromatherapy Child-Lock Timer Portable For Living Room Home Office Deodorizing Tech., White",3086,HEPA,4.2,58
Qubo,Qubo Smart Air Purifier Q400 for Home by Hero Group | 400 Sqft | 99.99% Allergen Removal | HEPA H13 | 9000 Hrs Filter Life | App & Voice Control | Energy Saving | Ultra-Quiet BLDC Motor (White),8539,HEPA,4.2,397
MI,"Xiaomi 4 Lite Smart Air Purifier for Home, AQI Display, HEPA & Carbon Filter, trap 99.99% Virus Dust & Odor, Large coverage area up to 462 Sq ft, App Control, RoHS & Allergy Care Certified, Alexa & GA",12999,HEPA,4.1,792
MI,"Xiaomi Smart Air Purifier 4, Best Purified Air Delivery Rate 387 m3/hr, True HEPA, traps 99.99% Virus, High coverage: 516 Sq Ft, Fast Purification in 7 Mins, RoHS & Allergy Care Certified, Alexa&GA",17999,HEPA,4.3,4422
Qubo,Qubo Smart Air Purifier Q200 for Home by Hero Group | 200 Sqft | 99.99% Allergen Removal | HEPA H13 | 9000 Hrs Filter Life | App & Voice Control | Energy Saving | Ultra-Quiet BLDC Motor (White),6639,HEPA,4.1,607
Dyson,Dyson Air Purifier TP10 Cool Gen1 | Covers 600 Sq. Ft| Advanced HEPA H13 filtration|Removes 99.95% of allergens & pollutants as small as PM 0.1|Remote Control| 2 Year Warranty,33899,HEPA H13 Filter + Activated Carbon Filter,4.3,132
SHARP,"Sharp Air Purifier for Home & Office with Plasmacluster (Removes Bacteria, Virus, Mold, VOCs I JAPAN TECHNOLOGY I Traps 99.97% Pollutants I HEPA, Carbon & Pre Filter I 250 sq.ft. I FP-JA30M-B | White",6989,"HEPA, Carbon and Pre-Filter",4.4,45
nexlev,NexLev Smart Air Purifier | Home & Office Use upto 200 sq ft | True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life | 3 Year Warranty | AP220,3399,True HEPA 13,4,12
Godrej aer,Godrej aer Matic Kit (Machine + 1 Refill) - Automatic Room Fresheners with Flexi Control Spray | Violet Valley Bloom | 2200 Sprays Guaranteed | Lasts up to 60 days (210ml),383,Not specified,4,28040
Qubo,Qubo Smart Air Purifier Q500 for Home by Hero Group | 500 Sqft | 99.99% Allergen Removal | HEPA H13 | 9000 Hrs Filter Life | App & Voice Control | Energy Saving | Ultra-Quiet BLDC Motor (White),9989,HEPA,4.1,607
CUCKOO,CUCKOO Respure Air Purifer For Home | Biggest True HEPA Filter Cleans 570 Sqft in 15min | 8 Yrs Warranty on Motor | | Suitable For Heavy Pollution Allergies & Pet Hair | RedDot Award Winner,10490,True HEPA + Activated Carbon + Washable Pre Filter,4.3,861
AGARO,"AGARO Royal Air Purifier For Home, Bedroom,True HEPA Filter H13, Removes 99.99% Pollutants, Bacteria, Virus & PM 0.1 Particles, 4 Stage Purification, CADR 300 m³/hr",6999,HEPA,4.1,343
SHARP,"Sharp Air Purifier for Homes/Offices Dual Purification, Plasmacluster Technology,(True HEPA+Carbon+Pre-Filter) Captures 99.97% of Impurities FP-F40E-T Brown Comes with 7 Years of Warranty",9949,HEPA,4.2,2049
Winix,"Winix Premium 4 Stage Air Purifier,Kills Virus&Bacteria - Only Guaranteed Tripple Certified Uk Allergy,Ecarf (Cadr 390M3)&Aham (360Sqft) Upto 1065 Sqft,2 Year Warranty,Korean Brand (5300-2),Gray",14999,Activated Carbon,4.6,38982
FULMINARE,"FULMINARE Air Purifiers for Bedroom, H13 True HEPA Air Purifiers, Quiet Small Air Filters, with Timer Sleep Mode Speeds Control Night Light, for Pets, Office, Living Room (White)",3685,HEPA,4.1,360
PURE NEST,"Pure Nest Rainbow A5 Humidifier | Colorful LED Cool Mist Aroma Diffuser | USB Portable Air Purifier for Home, Office & Bedroom | Silent Operation & Auto Shut-Off",399,Not specified,4.7,81
JINKINEY,"JINKINEY Air Purifier for Home & Office, HEPA H13 Filter, 3 Speeds, Removes 99.97% Dust & Particulate Matter, Low Noise, Smart Air Purifier for Home Allergies and Pets Hair Smokers in Bedroom White",2299,HEPA,4,8
Dyson,Dyson Air Purifier Hot+Cool™ Gen1 HP10 - Black (Latest Launch),45899,HEPA,4.5,410
Godrej aer,"Godrej aer Plug Electric Air Freshener (Machine + 2 Refills (20 Ml each) | Rose Blossom | Lasts up to 120 days,Liquid",236,Not specified,4.1,392
LEVOIT,"LEVOIT 300S Smart Air Purifier For Home, Hepa Filter Traps 99.97% Virus & Pm 0.1 Particles, 2 Years Warranty, Real Time Quality Indicator, App Control, Compatible With Alexa, White",14999,HEPA,4.6,33010
atovio,"atovio Wearable & Portable Air Purifier, Compact & Personal, TESTED AT IIT KANPUR, MADE IN INDIA, No Filter Required, Removes 99.9% Pollutants-PM0.01, PM2.5, PM10, (Cloud White)",2999,Ionizer,4,106
Eureka Forbes,"Eureka Forbes Air Purifier 355 With True Hepa H13 Filter & Surround 360° Air Technology|Removes 99.97% Dust & Particulate Matter|4-Stage Purification In 10 Mins|Covers 480 Sq. Ft.|Convenient,White",11499,HEPA,4.2,314
Kärcher,"KARCHER AF20 Air Purifier for Home, Dual H13 HEPA & Activated Carbon Filters, Removes 99.99% Pathogens & Fine Dust, 430 sq. ft Coverage, Air Quality Display, Automatic & Night Modes, German Technology",7749,HEPA,4.4,129
PHILIPS,"Philips Air Purifier - Series 2000 Ac2958/63 With Wifi New Launch 2020 Up To 39M2 (Hepa Filter, White) - 46 Watts",24999,Pre-Filter,4.5,221
VEWIOR,"Vewior A1 World No 1 Effective Air Purifier for Home Cover Area 600 sq.ft, H13 HEPA Filter, 6 Timer Settings, Remove 99.99% Allergen, Filter Life 8500Hrs, Monitor Air Quality with PM2.5 Touch Display",6219,HEPA,4.3,8338
CozyEdge,"CozyEdge Wooden Aroma Diffuser Humidifier, Air Oil Diffuser Air Purifier Portable Grain 130ml Touch Sensitive 6 Color LED Lights Changing",376,Not specified,4.3,2
Coway,"Coway Airmega AIM (AP-0623B) Air Purifier For Home, Cleans Upto 355 Sq.Ft, Longest Filter Life 8500Hrs (Approx. 1.5-2 Yrs), Kills Virus & PM 0.01 With 99.999% Efficiency, 7Yrs Motor Warranty, White",10499,HEPA,4.4,6075
PHILIPS,"Philips Air Purifier AC1711/61 Portable Room Air Purifier (Intelligent Automatic Mode, Black)",11950,"HEPA, Active Carbon, Pre-filter",4.7,6
Reffair,Reffair AX30 [MAX] Air Purifier for Car & Home | 3rd Gen - Type-C Cable | Plasma Ions Function | H13 True HEPA Filter | Aromatherapy Function (Black),2299,HEPA,4,2771
PHILIPS,"PHILIPS 3200 Series Air Purifier, Effective Up To 135 M², Fresh Air Speed (CADR) 520 M3/H, Remote Control With Air+ App, AC3220/10, Silver",19900,HEPA,4.3,118
PHILIPS,"PHILIPS Smart Air Purifier AC3220/60 Upto 135 m2 Room Size Smart Portable Air Purifier Real Time AQI Display|Covers upto 600 sqft 520 m3/h|(Silver, Arctic White)",18274,HEPA,5,2
AirDeveloppa,"AirDeveloppa True HEPA Air Purifier: High-Efficiency Removal of Dust, Allergens and Bacteria. 320 ft² Coverage, Compact, User-Friendly Design, 6-Month-Lasting Filter, Ideal for Bedrooms (Purple)",3595,HEPA,4.9,15
Jafända,"Jafända JF260S Smart Air Purifiers for Bedroom & Home, HEPA Filter catches 99.97% of Viruses & 0.01 Micron Particles, Real-time PM indicator, 23dB Quiet Sleep Model with ambient light, Alexa Control",10800,HEPA,4.5,133
Blueair,"Blueair air purifier for bedroom living room home, Hepa Filter with Activated Carbon, Pre Filter, Blueair 3410 air purifier Cleans 388 sq ft",12500,HEPA,4.5,2979
Dr Trust,"Dr Trust USA Zurich Portable Room Air Purifier, HEPA Filter UV 4 Stage Filtration & Air Quality Monitoring, Low Noise, 360° Air Inlet Removes 99.97% Pollutants Dust, Smoke, Bacterial Particles (Black)",5699,HEPA,4.1,27
Dyson,Dyson Air Purifier Big+Quiet |Covers 1100 Sq. Ft| Advanced HEPA H13 filtration|Removes 99.95% of allergens & pollutants as small as PM 0.1| LCD Screen |Smart Control| 2 Year Warranty,68900,HEPA H13 Filter + Activated Carbon Filter,4,21
Jafända,"Jafända JF100 Smart Air Purifiers For Bedroom, H13 True HEPA Filter Coverage 450 Sqft,22Db Air Cleaner With Brushless Motor, Night Light, Effectively Remove Smoke, Dust, Pollen,1 Year Warranty(Black)",5100,HEPA,4.4,62
VEWIOR,"Vewior Premium Air Purifiers for Home/Office Covers 1400ft², VEWIOR H13 True HEPA Air Purifier for Bedroom with Night Light, 9600 Hrs Filter Life, Remove 99.99% Allergen, Monitor Air Quality-White",9399,HEPA,4.4,1751
Dyson,Dyson Air Purifier Hot+Cool™ Gen1 HP10 - White/Silver (Latest Launch),45899,HEPA,4.8,8
XenonLab,"Air Purifiers for Home Large Room Up to 2600 Ft², HEPA Air Purifier with Washable Filter & Air Quality Display, Powerful Turbo Mode Air Cleaner for Pet Hair Odors Smoke Dust",27080,HEPA,4.6,51
LEVOIT,"LEVOIT Air Purifier For Home Bedroom,Available For California,Dual H13 Hepa Filter Remove 99.97% Dust Mold Pollen Pet Dander,Desktop Air Cleaner For Smoke,Odor With Aromatherapy,100% Ozone Free,White",11775.87,HEPA,4.5,20525
MI,"Xiaomi Smart Air Purifier 4 Lite Filter, Removes 99.99% Air Pollutants, PM2.5 and pollen filtration, Pet hair filtration, Odour elimination, 3-Layered Filtration (Black)",2999,HEPA,4.3,1254
CUCKOO,CUCKOO Respure Copper Air Purifer For Home | 2 Yrs Filter & 8 Yrs Warranty on Motor | Biggest True HEPA Copper Filter | Coverage Area 570 Sqft | Suitable For Heavy Pollution Allergies & Pet Issues.,12491,True HEPA + Activated Carbon + Washable Pre Filter,4.3,861
Air Wick,"Airwick Freshmatic Air Freshner Spray Complete Kit, Hills of Munnar - 250 ml (Lavender & Lotus)",385,Not specified,4.1,12495
Reffair,"Reffair LivAir Home Air Purifier with Plasma Protect technology, TRUE HEPA Filter with Activated Carbon, Removes 99.97% Pollutants & Allergens, AQI Display, Aromatherapy Function",7999,HEPA,5,14
Honeyuan,"Air Purifiers for Bedroom, Honeyuan H13 HEPA Air Purifier for Home Large Room 600 sqft, Air purifiers with 360°Air Intake, 3 Fan Speeds, 3-Stage Filtration, White",4579,Triple Layer Filtration,4.4,2010
PHILIPS,Philips AC1215 1000 Series Air Purifier (Multicolor),1957,Not specified,4.4,440
Godrej aer,Godrej aer Matic Kit - Automatic Air Freshener spray with Flexi Control | Cool Surf Blue (225ml),549,Not specified,4.1,10436
TAYCORE LIVING,TAYCORE LIVING Lovely Small Air Humidifier Home Bedroom Mini 250ml USB Silent Purifier White Cat,299,250 Milliliters,5,1
Drumstone,"Drumstone〚15 years warranty〛3-in-1 Portable Mini Air Conditioner Fan – Evaporative Cooler, Humidifier & Air Purifier with 7-Color LED Light – Personal Cooling for Bedroom, Office & Home – Black",799,Not specified,5,4
Blueair,"Blueair air purifier for bedroom living room home, Hepa Filter with Activated Carbon, Pre Filter, Blueair 3210 air purifier Cleans 183 sq ft",7885,HEPA,4.4,5787
VED,"VED ONLINE MART Wooden Air Humidifier Natural Wood Aroma Diffuser, Cool Mist Humidifier for Home & Bedroom, Air Purifier & Freshener, Multicolor (Color May Change)",388,Not specified,5,2
Dyson,"Dyson Purifier Hot+Cool Air Purifier with heater, HEPA+Activated Carbon Filter, Wi-Fi Enabled, HP07 (White)",66900,Activated Carbon,4.6,125
voltmi,"Voltmi Aura 2.0 Air Purifier for Home | Real-time Air Monitoring | Portable Air Purifier for Car & Room | HEPA Filter | Removes Up To 99.9% of Pet Dander, Smoke, Dust, Colour (Black)",2899,Hepa Filter & Carbon Activated Filter,4.2,7
LEVOIT,"Levoit Air Purifier For Home Allergies&Pets Hair,Smokers In Bedroom,True Hepa Filter,24Db Filtration System Cleaner Odor Eliminators,Remove Smoke Dust Mold Pollen,Arc Formula,Core P350,Grey",24932.71,HEPA,4.6,12264
LEPL,"LEPL Flash LAP1002 Air Purifier for Home, Anti-Bacterial, HEPA H13+ Carbon Filter, removes 99.99% Pollutants, MicroAllergens, UV LED, WIFI, Covers upto 260 sq.ft, with 1 Year Warranty",4995,HEPA H13 and Carbon Filter,4.5,2
PuroAir,"PuroAir 240 HEPA Air Purifiers for Home Large Rooms - Covers Up To 1,000 Sq Ft - Filters Up To 99.9% of Pollutants, Smoke, Pollen, Dust - Quiet HEPA Air Filter - Air Purifiers for Bedroom",28341,HEPA With Activated Carbon,4.6,12640
SHARP,"SHARP Air Purifier for Room FX-J80M-H with Plasmacluster (Removes Bacteria, Virus, Odor, Mold, VOCs) I WiFi I HEPA H14 & Carbon & Pre Filter| I Traps 99.97% Pollutants I 680 Sq. Ft. (680 Wi Fi)",28879,HEPA,4.1,7
ILIFE,"iLife Air Purifier | HEPA Home, Removes Smoke, Mini Allergens, No Filter Needed",1299,Ionizer,5,1
Qubo,Qubo Smart Air Purifier Q600 for Home by Hero Group | 600 Sqft | 99.99% Allergen Removal | HEPA H13 | 15000 Hrs Filter Life | App & Voice Control | Energy Saving | Ultra-Quiet BLDC Motor (White),13989,HEPA,4.2,397
SHARP,"Sharp AIOT Air Purifier FP-S42M-L with Patented PCI Technology, WiFi App Control, Voice Control, HEPA I Removes Bacteria, Virus, Mold, VOCs, 4 Stage Filtration, Coverage to 330 Sq. Ft Light Grey",19490,"HEPA, Pre-Filter",4.1,18
Takositio,Takositio 1pcs (pack of 1) wall plug air purifier with (US PLUG) and true HEPA freshness and mini portable air purifier for Home/Bedroom/Toilet/LivingRoom/Bathroom or a small Closet.(GREEN),349,HEPA,4,1
OxyHola,"OxyHalo Wearable Air Purifier | Portable Hanging Neck Air Purifier | Portable Personal Device | No Filter Needed | Tested | Removes 99.9% Air Pollutants PM2.5, PM0.01, PM10 | Blue",1499,ionizer,4.5,34
TDBYWAE,"Air Purifiers for Home, TDBYWAE Air Purifier for Bedroom Up to 600 ft², H13 True HEPA Air Purifier for Pets Dust Dander Pollen Odor Smoke, with New Quiet Wind Wheel System, for Desk/Car/Travel(Green)",11470,HEPA,4,17
PHILIPS,"PHILIPS Air Purifier- Series 3000 Ac3059/65 With Wifi New Launch 2020 Up To 48M2, White,58 Watts",31999,Activated Carbon,4.2,100
SHARP,"SHARP dehumidifier with Air Purifier I Plasmacluster Tech fight against Mold, Fungus, VOCs I Absorb Moisture I Clothe Dryer I HEPA+Carbon+Pre-Filter I Area Covers 550 ft² I Drain 20L/day I DW-J20FM-W",32999,Not specified,4.1,293
VEWIOR,"VEWIOR Official A1 Air Purifier Replacement Filter H13 True HEPA Air Purifier Filter, Compatible with VEWIOR HQSC-50 HQKJ-80 A1 A1W Air Purifier-White",1999,Not specified,4.5,594
PHILIPS,"PHILIPS 3200 Series Smart Air Purifier with Remote Scheduling (App Control with Wi-Fi, Dark Slate)",20500,"HEPA Filter, Active Carbon Filter, Pre Filter",5,1
Troo,"TROO® Air Purifier Filter Compatible with Xiaomi MI Air Purifiers Model 1, S, 2, 2S, PRO, 3, 3H, 3C. (Grey HEPA Active Carbon Integrated filter with RFID)",1839,Integrated HEPA & Carbon Filter,4.4,40
Blueair,"Blueair air purifier 280i Cleans 279 Sqft in 12.5 minutes Removes 99.99% pollutants upto 0.03 micron Unique HEPA Silent technology AHAM & cARB, Energy Star- White.",25900,HEPA,4.6,6144
VAMASHAY,"Portable Air purifier |Multipurpose Mini Air cleaner for gym, home & car | 12 million ions/cm³, Rechargeable 20 hours battery life-Hanging Compact Lanyard design (White)",2499,Ionizer,4.7,19
Drumstone,"Drumstone (𝟏𝟓 𝐘𝐞𝐚𝐫𝐬 𝐰𝐚𝐫𝐫𝐚𝐧𝐭𝐲) 3-in-1 Mini Air Conditioning Fan – Portable AC, Humidifier & Purifier with LED – Ideal for Office, Bedroom, Dorm – Multicolor",1299,Not specified,5,4
TDBYWAE,"TDBYWAE Air Purifier for Home – True HEPA Filter for Pets, Smoke & Allergies | 600 Sq Ft Coverage | Ultra-Quiet & Portable for Bedroom/Travel",10141,HEPA,4.4,331
DAYETTE,"DAYETTE Air Purifiers for Home Large Room Up to 3000 Ft² with 2xH14 HEPA Filters, Air Purifiers for Pets Bedroom with Washable PreFilters, 2 TIMES Purification Speed In Turbo Mode for Dust, Hair, Odor",28974,HEPA,4.7,140
Inno Prods,"Inno Prods Filter Free Portable Air Purifier, Wearable Air Purifier for Neck,CE | ROHS CERTIFIED,Electric Air Freshner, Personal Portable Negative Ionizer|PM2.5, Dust, Smoke for Home,Car(Silver)",2699,Negative Ion,4.6,35
Aucleia,"Air Purifiers for Home Large Room Cover 2,100 Ft²,with Air Quality Monitor & Aromatherapy,Auto H13 Air Purifier Removes Pets Hair Dust Smoke Odor,with 7 Colors Light(blue)",25769,HEPA,4.5,25
NEWDRU,"NEWDRU AirPure Elite Portable Car Air Purifier with Negative Ion Technology | Ozone Purification & Aromatherapy | USB Rechargeable | Compact for Home, Office & Car",2926,Ionizer,4.7,15
SHARP,"SHARP Air Purifier for Room & Office FP-J80M-H with Plasmacluster (Removes Bacteria, Virus, Odor, Mold, VOCs) I HEPA H14 & Carbon & Pre Filter| JAPAN TECHNOLOGY I Traps 99.97% Pollutants I 680 Sq. Ft.",27999,HEPA,4,58
GOODAIR,GOODAIR 2.0 Premium Non-electric Car Air Purifier | Forest Green | Tested & Certified to Absorb Toxic Gases | Advanced Impregnated Activated Carbon | 24/7 Air Purification,2279,Activated Carbon,4,2878
